date,return,realized_var,forecast_var,forecast_vol_ann,weight_EWMA (RiskMetrics),"weight_Component GARCH(1,1)"
2023-09-15,0.00257348103563664,6.622804640781434e-06,2.4571777096286597e-05,7.868982035984212,0.5,0.5
2023-09-18,-0.0016245857495806512,2.6392788577405263e-06,2.3188880800117388e-05,7.644342981335664,0.5549900374026592,0.44500996259734077
2023-09-19,0.0016922195800486695,2.863607107100095e-06,2.20227194089682e-05,7.449647838025625,0.5958675379256865,0.4041324620743136
2023-09-20,0.003241056179457853,1.0504445158401934e-05,2.083953142405138e-05,7.246766119353479,0.6324160427994334,0.36758395720056664
2023-09-21,-0.005068777114727527,2.5692501438785514e-05,2.0091914003030438e-05,7.115590157368305,0.6511098151874467,0.34889018481255335
2023-09-22,0.005270994769017821,2.7783385855013232e-05,2.0235403621527214e-05,7.140953516600468,0.6434790155391898,0.3565209844608102
2023-09-25,0.0034314583712930363,1.1774906553917058e-05,2.080525681130632e-05,7.240804317511413,0.6366240834466249,0.36337591655337514
2023-09-26,0.0012753819483435843,1.6265991141606773e-06,2.0727944368818598e-05,7.227338362732361,0.645005334250469,0.3549946657495309
2023-09-27,0.003749585912989081,1.4059394518886161e-05,1.9790858620045243e-05,7.062079277557993,0.6710802703253099,0.3289197296746902
2023-09-28,-0.0021408986567555024,4.583447058497514e-06,1.9243266051377515e-05,6.963693736047798,0.6811486540499209,0.31885134595007925
2023-09-29,0.0004017677836285285,1.614173519617801e-07,1.857759945456677e-05,6.842189022930328,0.7003931947331854,0.29960680526681455
2023-10-02,0.0032750756139636123,1.0726120277179132e-05,1.751813446790659e-05,6.6442229687996335,0.7289030952998412,0.2710969047001588
2023-10-03,-0.005620999810583213,3.1595638870576516e-05,1.6972195168555504e-05,6.539872462423091,0.7412707580519641,0.25872924194803587
2023-10-04,0.0006708258116995448,4.500072696423532e-07,1.7674075632476085e-05,6.67372988619106,0.7211707234315581,0.278829276568442
2023-10-05,-0.004099054894427343,1.680225102752876e-05,1.7223932659008926e-05,6.588194767969637,0.7375982830974432,0.2624017169025567
2023-10-06,0.005439358003529353,2.958661549055883e-05,1.7002632527615278e-05,6.545734028326426,0.739818622834628,0.26018137716537204
2023-10-09,-0.005439358003529303,2.958661549055828e-05,1.77102144799916e-05,6.680549415248632,0.7238941843995093,0.2761058156004908
2023-10-10,0.0013458046577383997,1.8111901767903712e-06,1.8587683237289794e-05,6.844045715654615,0.71189029240484,0.28810970759515997
