regression,alpha,alpha_se,alpha_t,alpha_p,beta1_AutoVol,beta1_se,beta1_t,beta1_p,beta2_IV,beta2_se,beta2_t,beta2_p,R2,n,mse,qlike
proxy = a + b1*AutoVol + b2*IV,-1.4829565709788877e-05,1.026722349046061e-05,-1.4443598820622916,0.14926284987765565,-0.2607695026307307,0.25779252187920776,-1.01154797171703,0.3122425076378169,1.5843650656510686,0.3214102753165143,4.929416348282077,1.1230872746636318e-06,0.06556416656981778,504,,
proxy = a + b*AutoVol (alone),1.695502132650914e-05,,,,0.6152382759073711,,,,,,,,0.020242824634950196,504,,
proxy = a + b*IV (alone),-1.5668359273318547e-05,,,,,,,,1.3602410543147008,,,,0.06365569925867887,504,,
Combination: AutoVol+IV,,,,,,,,,,,,,,504,5.5602259554044316e-09,-9.18727227830156
Combination: EWMA+IV,,,,,,,,,,,,,,504,5.59383010053985e-09,-9.179232951817834
