model,n,mse,qlike,mae,mz_alpha,mz_beta,mz_r2,mz_efficient
Implied Vol 1M,504,5.465894277134216e-09,-9.211437110778581,4.2981540278476316e-05,-1.5668359273318547e-05,1.3602410543147008,0.06365569925867887,True
AutoVolForecaster,504,5.741513977520127e-09,-9.096118449541134,4.3269829092935374e-05,1.695502132650914e-05,0.6152382759073711,0.020242824634950196,True
EWMA (λ=0.94),504,5.810766068649405e-09,-9.05685261348411,4.394932556357409e-05,2.0706764337142113e-05,0.4981507063952175,0.01578575943737126,False
Rolling Var 63d,504,5.921818239847505e-09,-9.049376459007956,4.3911364853159546e-05,3.1243291939295396e-05,0.24342949339572986,0.00221246959096022,False
Rolling Var 21d,504,5.928341908602801e-09,-8.928968042978997,4.320217631519103e-05,2.6347018813319704e-05,0.3770003365750755,0.011344337413422112,False
Rolling Var 10d,504,6.0809973119148005e-09,-8.697651482159216,4.396580215962276e-05,2.8949765887078425e-05,0.32001991299402915,0.012715928400227838,False
Rolling Var 5d,504,6.300456478490414e-09,-8.024925427727656,4.378419826530844e-05,3.083718790348322e-05,0.29014260594983,0.015664613030822783,False
RW Variance,504,1.034638802286478e-08,11458819414706.828,5.433262044615812e-05,3.645708450586339e-05,0.10949396437237915,0.011988833338510863,False
