model,loss,mean,ci_2.5,ci_50,ci_97.5
AutoVolForecaster,MSE,5.741513977520127e-09,3.614467422593723e-09,5.730891983058367e-09,8.136431814926457e-09
AutoVolForecaster,QLIKE,-9.096118449541134,-9.325507005682466,-9.071590941632621,-8.80321853986746
EWMA (λ=0.94),MSE,5.810766068649405e-09,3.628997674867402e-09,5.845652476427164e-09,8.419355490893848e-09
EWMA (λ=0.94),QLIKE,-9.05685261348411,-9.299836017769664,-9.025789403443456,-8.732780804134558
Implied Vol 1M,MSE,5.465894277134216e-09,3.5619619390452387e-09,5.474898518130709e-09,7.683249240170228e-09
Implied Vol 1M,QLIKE,-9.211437110778581,-9.41511255185121,-9.190046606572542,-8.95724333794144
AutoVol - IV,MSE_diff,2.7561970038591153e-10,5.406048947889391e-11,2.680344668453909e-10,5.166330016118066e-10
AutoVol - IV,QLIKE_diff,0.11531866123744824,0.030387564477721955,0.11842913470370103,0.21447400196195818
